ID,English,词性,日文释义,中文翻译,英文例句,例句日文,例句中文,熟语/搭配,重要度,复习次数,错误次数,出现频率,反义词,反义词日语翻译,近义词,近义词日语翻译
0815,burst,动词,破裂する；破裂させる,爆裂；破裂,The balloon burst.,風船が破裂した。,气球破了。,burst,C,0,0,C,mend,直す,break open; explode,破裂する；爆発する
0816,combine,动词,結びつける,结合；组合,We should combine theory with practice.,私たちは理論を実践と結びつけるべきだ。,我们应该把理论和实践结合起来。,combine A with B,C,0,0,C,separate; divide,分ける；分ける,join; mix,結びつける；混ぜる
0817,consider,动词,熟考する；考える,考虑；认为,Please consider a proposal carefully.,提案について慎重に考えてください。,请仔细考虑这个提案。,consider carefully,C,0,0,C,ignore,無視する,think about; regard,考える；見なす
0818,crash,动词,衝突する,撞上；坠毁,The car crashed into a truck.,その車はトラックに衝突した。,那辆车撞上了卡车。,crash into,C,0,0,C,avoid,避ける,hit; fall,衝突する；墜落する
0819,demonstrate,动词,証明する；実演する,证明；演示,The experiment demonstrated the truth of his assumption.,その実験は彼の仮説の正しさを証明した。,实验证明了他的假设是正确的。,demonstrate the truth,C,0,0,C,hide,隠す,show; prove,示す；証明する
0820,depend,动词,頼る；依存する,依靠；取决于,Children depend on their parents for money.,子どもはお金の面で親に頼っている。,孩子在金钱方面依赖父母。,depend on,C,0,0,C,be independent,独立している,rely; be based on,頼る；基づく
0821,examine,动词,調べる；試験する,检查；研究；考试,Scientists examined the effect.,科学者たちはその効果を調べた。,科学家们研究了这个效果。,examine the effect,C,0,0,C,ignore,無視する,check; look at,調べる；検査する
0822,express,动词,表現する,表达,It is important to express your ideas.,自分の考えを表現することは大切だ。,表达自己的想法很重要。,express ideas,C,0,0,C,hide; hold down,隠す；抑える,show; say,表す；言う
0823,gain,动词,得る；増す,获得；增加,The singer gained popularity.,その歌手は人気を得た。,那位歌手获得了人气。,gain popularity,C,0,0,C,lose,失う,get; increase,得る；増す
0824,lay,动词,横たえる；敷く,放置；铺设；使躺下,Lay the patient down on the bed.,患者をベッドに横たえなさい。,把患者放到床上。,lay down,C,0,0,C,raise,上げる,put; place,置く；横たえる
0825,maintain,动词,維持する；主張する,维持；坚持主张,We must maintain this standard.,私たちはこの水準を維持しなければならない。,我们必须保持这个标准。,maintain a standard,C,0,0,C,abandon,放棄する,keep; continue,維持する；続ける
0826,mention,动词,言及する；述べる,提到；提及,He mentioned her latest book.,彼は彼女の最新の本に言及した。,他提到了她最新的书。,mention a book,C,0,0,C,omit,省く,refer to; say,言及する；述べる
0827,propose,动词,提案する；結婚を申し込む,提议；求婚,She proposed a new project.,彼女は新しいプロジェクトを提案した。,她提出了一个新项目。,propose a project,C,0,0,C,oppose,反対する,suggest; offer,提案する；申し出る
0828,refresh,动词,元気づける；さわやかにする,使恢复精神；刷新,A cup of coffee always refreshes me.,一杯のコーヒーはいつも私を元気づけてくれる。,一杯咖啡总能让我恢复精神。,refresh me,C,0,0,C,tire,疲れさせる,make fresh; renew,元気づける；新しくする
0829,regret,动词,後悔する,后悔；遗憾,He regrets what he did.,彼は自分がしたことを後悔している。,他后悔自己做过的事。,regret what one did,C,0,0,C,welcome,歓迎する,feel sorry; be sorry,後悔する；残念に思う
0830,release,动词,解放する；公開する,释放；发布,She was released from the hospital.,彼女は病院から退院した。,她从医院出院了。,be released from,C,0,0,C,hold; capture,持つ；捕まえる,set free; publish,解放する；発表する
0831,respect,动词,尊敬する,尊敬；尊重,I respect him deeply.,私は彼を深く尊敬している。,我非常尊敬他。,respect deeply,C,0,0,C,not respect,尊重しない,look up to; honor,尊敬する；敬う
0832,review,动词,復習する；再調査する,复习；审查,Let's review a lesson before the test.,テストの前に授業の復習をしましょう。,考试前我们复习一下课程吧。,review a lesson,C,0,0,C,ignore,無視する,look over; study again,見直す；復習する
0833,rise,动词,昇る；上がる,升起；上涨,The sun rises in the east.,太陽は東から昇る。,太阳从东方升起。,rise in the east,C,0,0,C,fall; sink,落ちる；沈む,go up; increase,上がる；増える
0834,seek,动词,追求する；捜す,寻找；追求,They seek the truth.,彼らは真実を追求している。,他们追求真相。,seek the truth,C,0,0,C,avoid,避ける,look for; search for,探す；求める
0835,select,动词,選ぶ,选择；挑选,She selected the best player.,彼女は最優秀選手を選んだ。,她选出了最优秀的选手。,select the best,C,0,0,C,reject,拒否する,choose; pick,選ぶ；選択する
0836,swing,动词,揺れる；揺らす,摇摆；挥动,The door swung back and forth.,ドアが前後に揺れた。,门前后摇摆。,swing back and forth,C,0,0,C,steady,安定した,move back and forth,揺れる；振る
0837,unite,动词,団結させる；結合する,联合；团结,The event united the whole country.,そのイベントは国全体を団結させた。,这个活动使全国团结起来。,unite the country,C,0,0,C,separate; divide,分ける；分ける,join; bring together,結合する；団結する
0838,vary,动词,異なる；変わる,不同；变化,The price varies according to age.,価格は年齢によって異なる。,价格会根据年龄而不同。,vary according to,C,0,0,C,remain; standardize,残る；標準化する,change; differ,変わる；異なる
0839,wrap,动词,包む；巻きつける,包；缠绕,Please wrap the present.,プレゼントを包んでください。,请把礼物包装起来。,wrap a present,C,0,0,C,open,開く,cover; pack,包む；くるむ
0840,faith,名词,信仰；信頼,信仰；信任,I have faith in my teacher.,私は先生を信頼しています。,我信任我的老师。,have faith in,C,0,0,C,,,,
0841,fever,名词,熱,发烧,She had a slight fever last night.,彼女は昨夜、少し熱がありました。,她昨晚有点发烧。,have a slight fever,C,0,0,C,,,,
0842,flashlight,名词,懐中電灯,手电筒,He shone a flashlight on the road.,彼は道路を懐中電灯で照らしました。,他用手电筒照亮了道路。,shine a flashlight,C,0,0,C,,,,
0843,frame,名词,額縁；枠,相框；框架,She put the picture in a frame.,彼女は写真を額に入れました。,她把照片放进相框里。,put a picture in a frame,C,0,0,C,,,,
0844,fuel,名词,燃料,燃料,The car ran out of fuel.,車は燃料切れになりました。,汽车燃料用完了。,run out of fuel,C,0,0,C,,,,
0845,garbage,名词,生ごみ；ごみ,垃圾,Please take out the garbage.,ごみを出してください。,请把垃圾拿出去。,take out garbage,C,0,0,C,,,,
0846,goal,名词,目標；ゴール,目标；球门,She set a high goal for herself.,彼女は自分に高い目標を設定しました。,她为自己设定了很高的目标。,set a high goal,C,0,0,C,,,,
0847,harmony,名词,調和,和谐；协调,People should live in harmony with nature.,人々は自然と調和して生きるべきです。,人们应该与自然和谐相处。,in harmony with,C,0,0,C,,,,
0848,historian,名词,歴史家,历史学家,My uncle wants to become a historian.,私のおじは歴史家になりたいと思っています。,我叔叔想成为历史学家。,become a historian,C,0,0,C,,,,
0849,honor,名词,敬意；名誉,荣誉；敬意,They held a party in honor of the inventor.,彼らはその発明家に敬意を表してパーティーを開きました。,他们为向那位发明家表示敬意而举办了聚会。,in honor of,C,0,0,C,,,,
0850,imagination,名词,想像力,想象力,Children have a good imagination.,子どもたちは豊かな想像力を持っています。,孩子们有丰富的想象力。,have a good imagination,C,0,0,C,,,,
0851,importance,名词,重要性,重要性,We learned the importance of health.,私たちは健康の重要性を学びました。,我们学到了健康的重要性。,the importance of,C,0,0,C,,,,
0852,influence,名词,影響,影响,Good books have a good influence on children.,良い本は子どもたちに良い影響を与えます。,好书会对孩子产生好的影响。,have an influence on,C,0,0,C,,,,
0853,interest,名词,興味；利子,兴趣；利息,She has a great interest in science.,彼女は科学に大きな興味を持っています。,她对科学非常感兴趣。,have an interest in,C,0,0,C,,,,
0854,introduction,名词,導入；紹介,导入；介绍,The company gave an introduction of a new system.,会社は新しいシステムの導入について説明しました。,公司介绍了新系统的导入。,an introduction of,C,0,0,C,,,,
0855,lawyer,名词,弁護士；法律家,律师,You should consult a lawyer.,あなたは弁護士に相談すべきです。,你应该咨询律师。,consult a lawyer,C,0,0,C,,,,
0856,license,名词,免許；許可証,许可证；执照,My sister got a driver's license.,姉は運転免許証を取得しました。,我姐姐取得了驾驶执照。,a driver's license,C,0,0,C,,,,
0857,lifetime,名词,一生；生涯,一生；生涯,This was the best day in my lifetime.,これは私の人生で最高の日でした。,这是我一生中最棒的一天。,in my lifetime,C,0,0,C,,,,
0858,literature,名词,文学,文学,We studied American literature.,私たちはアメリカ文学を勉強しました。,我们学习了美国文学。,American literature,C,0,0,C,,,,
0859,lobby,名词,ロビー,大厅；门厅,Please wait in the lobby.,ロビーで待ってください。,请在大厅等候。,wait in the lobby,C,0,0,C,,,,
0860,location,名词,場所；位置,地点；位置,This is a good location for skiing.,ここはスキーに良い場所です。,这里是滑雪的好地点。,a good location for,C,0,0,C,,,,
0861,maid,名词,メイド；お手伝い,女佣；帮工,They hired a maid for the hotel.,彼らはホテルのためにメイドを雇いました。,他们为酒店雇了一名女佣。,hire a maid,C,0,0,C,,,,
0862,mall,名词,ショッピングセンター,购物中心,We went shopping at a mall.,私たちはショッピングセンターに買い物に行きました。,我们去了购物中心买东西。,go shopping at a mall,C,0,0,C,,,,
0863,manager,名词,支配人；管理者,经理；管理者,I asked the manager for help.,私は管理者に助けを求めました。,我向经理求助。,ask a manager,C,0,0,C,,,,
0864,matter,名词,問題；物質,问题；事情,This is a serious matter.,これは重大な問題です。,这是一个严重的问题。,a serious matter,C,0,0,C,,,,
0865,media,名词,マスコミ；メディア,媒体；传媒,The news was reported in the media.,そのニュースはメディアで報道されました。,这条新闻在媒体上被报道了。,in the media,C,0,0,C,,,,
0866,mess,名词,散らかった状態,混乱；脏乱,What a mess!,なんて散らかっているのでしょう。,真是一团糟！,What a mess!,C,0,0,C,,,,
0867,messenger,名词,配達人；使者,信使；送信人,She sent the package by messenger.,彼女は使者を使って小包を送りました。,她通过送信人寄出了包裹。,send by messenger,C,0,0,C,,,,
0868,mosquito,名词,蚊,蚊子,I was bitten by a mosquito.,私は蚊に刺されました。,我被蚊子咬了。,be bitten by a mosquito,C,0,0,C,,,,
0869,nationality,名词,国籍,国籍,What is your nationality?,あなたの国籍は何ですか。,你的国籍是什么？,one's nationality,C,0,0,C,,,,
0870,navigation,名词,運行；航行；ナビ,导航；航行,Our car has a navigation system.,私たちの車にはカーナビがあります。,我们的车有导航系统。,a navigation system,C,0,0,C,,,,
0871,necessity,名词,必要性；必需品,必要；必需品,Water is a daily necessity.,水は生活必需品です。,水是日常必需品。,daily necessity,C,0,0,C,,,,
0872,neighborhood,名词,近所；地域,附近；街区,There is a park in my neighborhood.,私の近所には公園があります。,我家附近有一个公园。,in my neighborhood,C,0,0,C,,,,
0873,opinion,名词,意見,意见,"In my opinion, this plan is useful.",私の意見では、この計画は役に立ちます。,在我看来，这个计划很有用。,in my opinion,C,0,0,C,,,,
0874,origin,名词,起源,起源；由来,We learned about the origin of civilization.,私たちは文明の起源について学びました。,我们学习了文明的起源。,the origin of,C,0,0,C,,,,
0875,partner,名词,パートナー；相手,伙伴；搭档,She found a partner for life.,彼女は人生のパートナーを見つけました。,她找到了人生伴侣。,a partner for life,C,0,0,C,,,,
0876,pause,名词,休止；中止,暂停；停顿,Let's start again after a short pause.,短い休憩の後でまた始めましょう。,短暂休息后我们再开始吧。,after a pause,C,0,0,C,,,,
0877,percent,名词,パーセント,百分比,Thirty percent of the citizens agreed.,市民の30パーセントが賛成しました。,百分之三十的市民同意了。,thirty percent of,C,0,0,C,,,,
0878,pillow,名词,枕,枕头,He put his head on the pillow.,彼は枕に頭をのせました。,他把头放在枕头上。,on the pillow,C,0,0,C,,,,
0879,plate,名词,皿,盘子,She put the cake on a paper plate.,彼女はケーキを紙皿にのせました。,她把蛋糕放在纸盘上。,a paper plate,C,0,0,C,,,,
0880,poem,名词,詩,诗,He wrote a poem for his mother.,彼は母のために詩を書きました。,他为妈妈写了一首诗。,write a poem,C,0,0,C,,,,
0881,policy,名词,政策；方針,政策；方针,The country changed its foreign policy.,その国は外交政策を変えました。,那个国家改变了外交政策。,foreign policy,C,0,0,C,,,,
0882,popularity,名词,人気,人气,The singer's popularity has increased.,その歌手の人気は増しました。,那位歌手的人气提高了。,popularity has increased,C,0,0,C,,,,
0883,pound,名词,ポンド；重量単位,英镑；磅,The package weighs five pounds.,その荷物は5ポンドあります。,那个包裹重五磅。,five pounds,C,0,0,C,,,,
0884,praise,名词,称賛,赞扬,She received praise from the audience.,彼女は観客から称賛を受けました。,她获得了观众的称赞。,receive praise from,C,0,0,C,,,,
0885,presentation,名词,発表；贈呈,发表；演示,I made a presentation in class.,私は授業で発表をしました。,我在课堂上做了发表。,make a presentation,C,0,0,C,,,,
0886,pressure,名词,圧力,压力,The news put pressure on politicians.,そのニュースは政治家に圧力をかけました。,这条新闻给政治家施加了压力。,put pressure on,C,0,0,C,,,,
0887,privacy,名词,プライバシー；秘密,隐私,Please respect my privacy.,私のプライバシーを尊重してください。,请尊重我的隐私。,respect one's privacy,C,0,0,C,,,,
0888,process,名词,過程；進行,过程；流程,Learning a language is a long process.,言語を学ぶことは長い過程です。,学习语言是一个漫长的过程。,a learning process,C,0,0,C,,,,
0889,progress,名词,進歩；前進,进步；进展,She made progress in science.,彼女は科学で進歩しました。,她在科学方面取得了进步。,make progress in,C,0,0,C,,,,
0890,psychology,名词,心理学,心理学,He is studying psychology at college.,彼は大学で心理学を勉強しています。,他在大学学习心理学。,major in psychology,C,0,0,C,,,,
0891,race,名词,競走；競争,赛跑；比赛,He won a horse race.,彼は競馬で勝ちました。,他赢了一场赛马。,a horse race,C,0,0,C,,,,
0892,rate,名词,比率；割合；速度,比率；速度,The birth rate is falling.,出生率が下がっています。,出生率正在下降。,birth rate,C,0,0,C,,,,
0893,reaction,名词,反応,反应,Her words caused a natural reaction.,彼女の言葉は自然な反応を引き起こしました。,她的话引起了自然反应。,a natural reaction,C,0,0,C,,,,
0894,relation,名词,関係,关系,The relations between the two countries improved.,その二国間の関係は改善しました。,两国之间的关系改善了。,relations between,C,0,0,C,,,,
0895,relative,名词,親類；身内,亲戚,I visited a close relative last weekend.,私は先週末、近い親戚を訪ねました。,我上周末拜访了一位近亲。,a close relative,C,0,0,C,,,,
0896,resource,名词,資源,资源,Water is an important natural resource.,水は重要な天然資源です。,水是一种重要的自然资源。,natural resources,C,0,0,C,,,,
0897,reunion,名词,再会；同窓会,重聚；同学会,We had a class reunion last summer.,私たちは昨年の夏、同窓会を開きました。,我们去年夏天开了同学会。,a class reunion,C,0,0,C,,,,
0898,reward,名词,報酬；報奨金,奖励；报酬,He got a reward for finding the lost child.,彼は迷子を見つけたことに対する報奨金をもらいました。,他因找到走失的孩子而得到了奖励。,a reward for,C,0,0,C,,,,
0899,root,名词,根；ルーツ,根；根源,The roots of the tree are very deep.,その木の根はとても深いです。,那棵树的根很深。,the roots of a tree,C,0,0,C,,,,
0900,rumor,名词,うわさ,传闻；谣言,A rumor spread around the school.,うわさが学校中に広まりました。,一则传闻在学校里传开了。,spread a rumor,C,0,0,C,,,,
0901,safety,名词,安全,安全,The staff did a safety check.,スタッフは安全点検をしました。,工作人员进行了安全检查。,do a safety check,C,0,0,C,,,,
0902,scene,名词,場面；景色,场面；景色,The movie has a famous battle scene.,その映画には有名な戦闘場面があります。,那部电影有一个著名的战斗场面。,a battle scene,C,0,0,C,,,,
0903,science fiction,名词,空想科学小説；SF,科幻小说；科幻,I watched a science fiction movie.,私はSF映画を見ました。,我看了一部科幻电影。,science fiction movie,C,0,0,C,,,,
0904,score,名词,得点,分数；得分,She got a perfect score on the test.,彼女はテストで満点を取りました。,她考试得了满分。,get a perfect score,C,0,0,C,,,,
0905,security,名词,警備；安全,安保；安全,The building has a security alarm.,その建物には警報機があります。,那栋楼有安全警报器。,security alarm,C,0,0,C,,,,
0906,selection,名词,選択；品ぞろえ,选择；选集,The store has a wide selection of shoes.,その店には靴が幅広くそろっています。,那家店有很多鞋可供选择。,a wide selection of,C,0,0,C,,,,
0907,sentence,名词,文,句子,Please memorize this long sentence.,この長い文を暗記してください。,请记住这个长句子。,memorize a sentence,C,0,0,C,,,,
0908,skill,名词,技術；熟練,技能；技巧,She learned a useful skill at school.,彼女は学校で役に立つ技術を学びました。,她在学校学到了一项有用的技能。,learn a skill,C,0,0,C,,,,
0909,smoker,名词,喫煙者,吸烟者,The restaurant separates smokers and non-smokers.,そのレストランは喫煙者と非喫煙者を分けています。,那家餐厅把吸烟者和非吸烟者分开。,smokers and non-smokers,C,0,0,C,,,,
0910,species,名词,種,物种,Scientists found a new species of butterfly.,科学者たちはチョウの新種を見つけました。,科学家发现了一种新的蝴蝶。,a new species of,C,0,0,C,,,,
0911,spider,名词,クモ,蜘蛛,My sister is scared of spiders.,妹はクモを怖がっています。,我妹妹害怕蜘蛛。,be scared of spiders,C,0,0,C,,,,
0912,statue,名词,像；彫像,雕像,We saw the Statue of Liberty.,私たちは自由の女神像を見ました。,我们看到了自由女神像。,the Statue of Liberty,C,0,0,C,,,,
0913,stereo,名词,ステレオ,立体声音响,This stereo sounds good.,このステレオは良い音がします。,这台音响声音很好。,stereo sounds good,C,0,0,C,,,,
0914,stomach,名词,胃；腹,胃；肚子,My stomach hurts.,おなかが痛いです。,我肚子疼。,one's stomach hurts,C,0,0,C,,,,
0915,strength,名词,強さ；力；長所,力量；强项,Mental strength is important.,精神的な強さは大切です。,精神力量很重要。,mental strength,C,0,0,C,,,,
0916,surface,名词,表面；外見,表面；外表,The surface of the earth is changing.,地球の表面は変化しています。,地球表面正在变化。,the surface of,C,0,0,C,,,,
0917,talent,名词,才能,才能,He showed a talent for music.,彼は音楽の才能を見せました。,他展现了音乐才能。,show a talent for,C,0,0,C,,,,
0918,teammate,名词,チームメイト,队友,She cheered up her teammate.,彼女はチームメイトを励ましました。,她鼓励了她的队友。,cheer up a teammate,C,0,0,C,,,,
0919,technology,名词,科学技術；テクノロジー,科技；技术,Information technology is developing quickly.,情報技術は急速に発展しています。,信息技术正在快速发展。,information technology,C,0,0,C,,,,
0920,tool,名词,道具,工具,Carpenters use many tools.,大工は多くの道具を使います。,木匠使用许多工具。,carpenter tools,C,0,0,C,,,,
0921,toothache,名词,歯痛,牙痛,I have a sharp toothache.,私はひどい歯痛があります。,我牙疼得厉害。,have a toothache,C,0,0,C,,,,
0922,topic,名词,話題；トピック,话题,Today's main topic is the environment.,今日の主な話題は環境です。,今天的主要话题是环境。,main topic,C,0,0,C,,,,
0923,truth,名词,真実,真相；事实,We must find out the truth.,私たちは真実を突き止めなければなりません。,我们必须查明真相。,find out the truth,C,0,0,C,,,,
0924,vase,名词,花瓶,花瓶,The child broke a vase.,子どもが花瓶を割りました。,孩子打碎了花瓶。,break a vase,C,0,0,C,,,,
0925,victim,名词,犠牲者；被害者,受害者,Many people helped the victims of war.,多くの人々が戦争の犠牲者を助けました。,许多人帮助了战争受害者。,victims of war,C,0,0,C,,,,
0926,wheat,名词,小麦,小麦,Farmers grind wheat into flour.,農家は小麦をひいて小麦粉にします。,农民把小麦磨成面粉。,grind wheat into flour,C,0,0,C,,,,
0927,width,名词,横幅；幅の広さ,宽度,What is the width of this ribbon?,このリボンの幅はどれくらいですか。,这条丝带的宽度是多少？,the width of,C,0,0,C,,,,
0928,achievement,名词,功績；業績；達成,成就；成绩,This is a great achievement in science.,これは科学における大きな功績です。,这是科学上的重大成就。,great achievement,C,0,0,C,,,,
0929,admission,名词,入場；入会；入学,入场；入学；承认,You must pay an admission fee.,入場料を払わなければなりません。,你必须支付入场费。,admission fee,C,0,0,C,,,,
0930,aisle,名词,通路,通道；过道,Please go to aisle seven.,7番通路に行ってください。,请去第7号通道。,aisle seven,C,0,0,C,,,,
0931,appreciation,名词,感謝；評価,感谢；赏识,She wrote a word of appreciation.,彼女は感謝の言葉を書きました。,她写下了一句感谢的话。,a word of appreciation,C,0,0,C,,,,
0932,arrival,名词,到着,到达,Please check the arrival time.,到着時刻を確認してください。,请确认到达时间。,arrival time,C,0,0,C,,,,
0933,attitude,名词,態度,态度,He has a proper attitude toward teachers.,彼は先生に対して適切な態度を持っています。,他对老师有适当的态度。,attitude toward,C,0,0,C,,,,
0934,attraction,名词,観光の名所；魅力,景点；吸引力,The temple is a famous tourist attraction.,その寺は有名な観光名所です。,那座寺庙是著名景点。,tourist attraction,C,0,0,C,,,,
0935,baggage,名词,手荷物,行李,She carried three pieces of baggage.,彼女は手荷物を3個運びました。,她带了三件行李。,pieces of baggage,C,0,0,C,,,,
0936,belief,名词,信仰；信念,信念；信仰,He has a strong belief in God.,彼は神への強い信仰を持っています。,他对上帝有坚定的信仰。,belief in,C,0,0,C,,,,
0937,biology,名词,生物学,生物学,I finished my biology assignment.,私は生物学の課題を終えました。,我完成了生物作业。,biology assignment,C,0,0,C,,,,
0938,bottom,名词,底；下部,底部,The boat sank to the bottom of the sea.,その船は海底に沈みました。,那艘船沉到了海底。,the bottom of,C,0,0,C,,,,
0939,brain,名词,脳；頭脳,大脑；头脑,The accident caused brain damage.,その事故は脳損傷を引き起こしました。,那场事故造成了脑损伤。,brain damage,C,0,0,C,,,,
0940,branch,名词,枝；支店,树枝；分店,A bird is singing on a branch.,鳥が枝でさえずっています。,一只鸟在树枝上唱歌。,on a branch,C,0,0,C,,,,
0941,campaign,名词,運動；キャンペーン,活动；运动,They started an election campaign.,彼らは選挙運動を始めました。,他们开始了竞选活动。,election campaign,C,0,0,C,,,,
0942,code,名词,暗号；規則,密码；规则,The spy broke a secret code.,スパイは秘密の暗号を解読しました。,间谍破解了秘密密码。,break a code,C,0,0,C,,,,
0943,competition,名词,競争；競技；試合,竞争；比赛,He entered an international competition.,彼は国際的な競技会に出ました。,他参加了国际比赛。,international competition,C,0,0,C,,,,
0944,conclusion,名词,結論；結び,结论,"In conclusion, we should save energy.",結論として、私たちはエネルギーを節約すべきです。,总之，我们应该节约能源。,in conclusion,C,0,0,C,,,,
0945,connection,名词,関係；結合,关系；连接,There is a close connection between sleep and health.,睡眠と健康の間には密接な関係があります。,睡眠和健康之间有密切关系。,connection between,C,0,0,C,,,,
0946,creation,名词,創作；創造,创造；创作,The creation of a new play took months.,新しい劇の創作には数か月かかりました。,新剧的创作用了几个月。,the creation of,C,0,0,C,,,,
0947,delivery,名词,配達,配送；投递,We ordered pizza delivery.,私たちはピザの配達を注文しました。,我们点了披萨外卖。,pizza delivery,C,0,0,C,,,,
0948,demonstration,名词,デモ；実演,示威；演示,The students held a demonstration.,学生たちはデモを行いました。,学生们举行了示威活动。,student demonstration,C,0,0,C,,,,
0949,economy,名词,経済；節約,经济,The world economy is changing.,世界経済は変化しています。,世界经济正在变化。,world economy,C,0,0,C,,,,
0950,expression,名词,表現；表情,表达；表情,Freedom of expression is important.,表現の自由は重要です。,表达自由很重要。,freedom of expression,C,0,0,C,,,,
0951,factor,名词,要素；要因,因素；要素,Weather is an important factor in farming.,天気は農業における重要な要因です。,天气是农业中的重要因素。,an important factor,C,0,0,C,,,,
0952,failure,名词,失敗,失败,Failure can teach us many things.,失敗は私たちに多くのことを教えてくれます。,失败能教会我们很多事情。,learn from failure,C,0,0,C,,,,
0953,fair,名词,見本市；博覧会,展览会；集市,We visited a book fair.,私たちは本の見本市を訪れました。,我们参观了书展。,book fair,C,0,0,C,,,,
0954,fare,名词,運賃；料金,车费；票价,The train fare is 500 yen.,電車賃は500円です。,火车票价是500日元。,train fare,C,0,0,C,,,,
0955,fault,名词,欠点；誤り,错误；缺点,It was my fault.,それは私のせいでした。,那是我的错。,one's fault,C,0,0,C,,,,
0956,fear,名词,恐れ；心配,恐惧；担心,He has a fear of being arrested.,彼は逮捕されることを恐れています。,他害怕被逮捕。,fear of,C,0,0,C,,,,
0957,feature,名词,特徴；特色,特征；特色,This machine has a distinctive feature.,この機械には目立った特徴があります。,这台机器有一个明显的特色。,a distinctive feature,C,0,0,C,,,,
0958,flavor,名词,味；風味,味道；风味,This soup has a bitter flavor.,このスープは苦い味がします。,这汤有苦味。,a bitter flavor,C,0,0,C,,,,
0959,form,名词,書式；用紙；形,表格；形式,Please fill out this application form.,この申込用紙に記入してください。,请填写这张申请表。,application form,C,0,0,C,,,,
0960,generation,名词,世代,世代,There is a generation gap between them.,彼らの間には世代の差があります。,他们之间有代沟。,generation gap,C,0,0,C,,,,
0961,grocery,名词,食料雑貨店；食料品,杂货店；食品杂货,I bought some groceries at the store.,私は店で食料雑貨を買いました。,我在店里买了一些食品杂货。,buy groceries,C,0,0,C,,,,
0962,ground,名词,地面；土地,地面；土地,The children sat on the ground.,子どもたちは地面に座りました。,孩子们坐在地上。,on the ground,C,0,0,C,,,,
0963,headache,名词,頭痛,头痛,I have a bad headache.,私はひどい頭痛がします。,我头疼得厉害。,have a headache,C,0,0,C,,,,
0964,horizon,名词,地平線；水平線,地平线；水平线,The sun rose above the horizon.,太陽が地平線の上に昇りました。,太阳从地平线上升起。,above the horizon,C,0,0,C,,,,
0965,invitation,名词,招待；招待状,邀请；请柬,I received a letter of invitation from my teacher.,先生から招待状を受け取りました。,我收到了老师的邀请函。,a letter of invitation,C,0,0,C,,,,
0966,market,名词,市場,市场,We went to the market to buy fresh fruit.,私たちは新鮮な果物を買うために市場へ行きました。,我们去市场买新鲜水果。,go to the market,C,0,0,C,,,,
0967,opportunity,名词,機会,机会,Everyone should have an equal opportunity to learn.,誰もが学ぶための平等な機会を持つべきです。,每个人都应该有平等的学习机会。,an equal opportunity,C,0,0,C,,,,
0968,pain,名词,苦痛；痛み；労苦,疼痛；痛苦；辛苦,She felt pain in her leg after running.,彼女は走った後、足に痛みを感じました。,她跑步后感到腿疼。,feel pain,C,0,0,C,,,,
0969,pattern,名词,様式；型；模様,模式；样式；图案,Scientists studied the children's behavioral patterns.,科学者たちは子どもたちの行動様式を研究しました。,科学家研究了孩子们的行为模式。,behavioral patterns,C,0,0,C,,,,
0970,period,名词,期間；時代；ピリオド,期间；时代；句号,He was silent for a long period of time.,彼は長い間黙っていました。,他沉默了很长一段时间。,a long period of time,C,0,0,C,,,,
0971,personality,名词,性格；個性；人格,性格；个性；人格,She has a charming personality.,彼女は魅力的な性格をしています。,她有迷人的性格。,have a charming personality,C,0,0,C,,,,
0972,pride,名词,プライド；誇り,自尊；骄傲,His careless words injured her pride.,彼の軽率な言葉は彼女のプライドを傷つけました。,他轻率的话伤害了她的自尊。,injure one's pride,C,0,0,C,,,,
0973,production,名词,生産,生产,Food production increased in the village.,その村では食料生産が増えました。,那个村子的粮食产量增加了。,food production,C,0,0,C,,,,
0974,proof,名词,証拠,证据,We need clear proof before we decide.,決める前に明白な証拠が必要です。,我们在决定之前需要明确的证据。,a clear proof,C,0,0,C,,,,
0975,property,名词,財産；特性,财产；特性,The sign says this is private property.,その標識にはここは私有財産だと書いてあります。,牌子上写着这里是私人财产。,public/private property,C,0,0,C,,,,
0976,recovery,名词,回復,恢复；康复,He made a full recovery after the accident.,彼は事故の後、完全に回復しました。,他在事故后完全康复了。,make a full recovery,C,0,0,C,,,,
0977,scenery,名词,風景,风景,We enjoyed the beautiful scenery from the train.,私たちは電車から美しい風景を楽しみました。,我们从火车上欣赏了美丽的风景。,beautiful scenery,C,0,0,C,,,,
0978,separation,名词,分離,分离,The country supports the separation of politics and religion.,その国は政治と宗教の分離を支持しています。,那个国家支持政教分离。,separation of politics and religion,C,0,0,C,,,,
0979,shadow,名词,影；日陰,影子；阴影,I saw the shadow of a stranger near the door.,私はドアの近くに見知らぬ人の影を見ました。,我在门附近看到了一个陌生人的影子。,the shadow of a stranger,C,0,0,C,,,,
0980,sign,名词,標識；合図；前兆,标志；信号；迹象,Drivers must follow traffic signs.,運転者は交通標識に従わなければなりません。,司机必须遵守交通标志。,traffic signs,C,0,0,C,,,,
0981,task,名词,課せられた仕事,任务；工作,Finishing the report was a difficult task.,レポートを仕上げることは難しい仕事でした。,完成报告是一项困难的任务。,a difficult task,C,0,0,C,,,,
0982,term,名词,期間；学期；専門用語,期间；学期；术语,"During my term of office, I worked hard.",私の在任期間中、私は一生懸命働きました。,在我的任期内，我努力工作。,during my term of office,C,0,0,C,,,,
